url	first_seen	portal	title	company	status
https://jobs.lever.co/palantir/2458ba08-de79-4e8f-b553-060f9568727e	2026-04-19	jobs.lever.co	Software Engineer, New Grad	Palantir	added
https://jobs.lever.co/palantir/0b2dbe51-0d9f-47ee-9f24-82bff4654048	2026-04-19	jobs.lever.co	Backend Software Engineer	Palantir	added
https://jobs.bytedance.com/en/position/detail/6704578738996119820	2026-04-19	jobs.bytedance.com	Research Scientist in ML Systems	ByteDance	added
https://jobs.bytedance.com/en/mobile/position/detail/7509699437339691282	2026-04-19	jobs.bytedance.com	Software Engineer, AI Infrastructure	ByteDance	added
https://careers.google.com/jobs/results/89925220315341510-machine-learning-engineer/	2026-04-19	careers.google.com	Machine Learning Engineer, Computer Vision	Google Singapore	added
https://careers.google.com/jobs/results/118177052674138822-customer-engineer/	2026-04-19	careers.google.com	Customer Engineer, Platform AI/ML Google Cloud	Google Singapore	added
https://careers.google.com/jobs/results/81434368779657926-customer-engineer-machine-learning/	2026-04-19	careers.google.com	Customer Engineer, Machine Learning	Google Singapore	added
https://www.metacareers.com/jobs/1701923063917583	2026-04-19	metacareers.com	Research Scientist, Machine Learning (PhD) (Singapore)	Meta	added
https://www.metacareers.com/jobs/744557351706652	2026-04-19	metacareers.com	Software Engineer, Product (Singapore)	Meta	added
https://sg.linkedin.com/jobs/view/research-engineer-ai-red-team-at-imda-3798981536	2026-04-19	linkedin.com	Research Engineer (AI Red Team)	IMDA	added
https://www.grab.careers/en/jobs/744000104834130/senior-machine-learning-engineer-business-observability-and-insights/	2026-04-19	grab.careers	Senior Machine Learning Engineer (Business Observability and Insights)	Grab	added
https://www.grab.careers/en/jobs/744000070013695/senior-machine-learning-engineer-reinforcement-learning/	2026-04-19	grab.careers	Senior Machine Learning Engineer (Reinforcement Learning)	Grab	added
https://www.grab.careers/en/jobs/744000044135785/principal-machine-learning-engineer-ai-platform/	2026-04-19	grab.careers	Principal Machine Learning Engineer, AI Platform	Grab	added
https://www.grab.careers/en/jobs/744000054343713/senior-machine-learning-engineer-foundation-models/	2026-04-19	grab.careers	Senior Machine Learning Engineer, Foundation Models	Grab	added
https://www.grab.careers/en/jobs/744000056289445/principal-machine-learning-engineer-ai-platform-model-customization/	2026-04-19	grab.careers	Principal Machine Learning Engineer, AI Platform (Model Customization)	Grab	added
https://jobs.paloaltonetworks.com/en/job/singapore/ai-security-solutions-architect/47263/77863963840	2026-04-22	jobs.paloaltonetworks.com	AI Security Solutions Architect	Palo Alto Networks	added
https://jobs.ashbyhq.com/openai/823fe212-7774-4387-a24b-b52f54c25fa3	2026-04-22	jobs.ashbyhq.com	Forward Deployed Engineer - Singapore	OpenAI	added
